"","site_id","latitude","longitude"
"2096",28234,39.096687,-108.586464
"2097",28353,30.414766,-88.542511
"2098",28482,39.030319,-94.570541
"2099",28745,30.429382,-88.428902
"2100",30162,47.24485,-122.519409
"2101",35853,45.763638,-122.330482
"2102",35859,65.154564,-147.511337
"2103",35861,33.398136,-97.569969
"2104",35865,47.162388,-99.109833
"2105",35867,63.880383,-145.744171
"2106",35891,40.055756,-105.582306
"2107",35894,35.408886,-99.056625
"2108",35908,37.111443,-119.731491
"2109",35913,31.911873,-110.835487
"2110",1976,43.983383,-71.122932
"2111",9086,37.381329,-80.088806
"2112",11308,43.94474,-69.706696
"2113",16193,44.14056,-71.645401
"2114",18942,42.365437,-71.258598
"2115",19236,44.5354,-122.858025
"2116",21041,34.826607,-106.722115
"2117",21282,42.423668,-76.331558
"2118",22064,32.226444,-110.952347
"2119",22955,42.296288,-71.129082
"2120",23017,41.731892,-74.100502
"2121",22560,42.482471,-71.436958
"2122",23284,40.16148,-77.121925
"2123",23452,41.494041,-121.93203
"2124",24150,33.305988,-112.02919
"2125",24276,43.826534,-70.286194
"2126",24473,35.502415,-82.526787
"2127",25183,41.913918,-87.699188
"2128",25433,41.91423,-87.671959
"2129",25930,38.988258,-94.813515
"2130",25992,39.9361,-86.118439
"2131",26118,44.584824,-122.825729
"2132",26608,43.365868,-70.487099
"2133",26642,38.982613,-94.812531
"2134",26641,30.371868,-87.619705
"2135",26849,45.454372,-122.822456
"2136",26863,42.419384,-76.492157
"2137",24271,43.825253,-70.287125
"2138",27019,30.371868,-87.619705
"2139",27104,35.092339,-106.666016
"2140",27150,45.483562,-122.693062
"2141",27203,40.547523,-76.101204
"2142",23223,32.582233,-106.634445
"2143",27385,44.011776,-69.901016
"2144",27431,44.454006,-68.475296
"2145",27474,29.784473,-90.114784
"2146",27475,29.783813,-90.117561
"2147",27476,29.785265,-90.110191
"2148",27477,29.793816,-90.122452
"2149",27570,35.957142,-83.870239
"2150",27582,60.457794,-151.102219
"2151",27592,60.457928,-151.101044
"2152",27645,40.652672,-73.987457
"2153",20789,43.899441,-69.95787
"2154",27448,32.245766,-110.900558
"2155",27134,32.206654,-110.95858
"2156",24417,32.23315,-110.99308
"2157",27847,40.303555,-121.005432
"2158",25915,42.49432,-70.891479
"2159",28115,34.421158,-119.866592
"2160",28192,37.802608,-79.422447
"2161",28262,38.046703,-81.113167
"2162",28331,44.132111,-123.328812
"2163",28354,30.414787,-88.542595
"2164",28398,35.273556,-82.705193
"2165",28419,46.827103,-92.134254
"2166",28446,44.738258,-123.32029
"2167",28452,44.617744,-123.281456
"2168",28451,44.587402,-123.297867
"2169",28399,35.130692,-82.887337
"2170",28458,44.32634,-122.831123
"2171",28485,47.67683,-122.36322
"2172",28513,35.130856,-82.887634
"2173",28572,47.631752,-122.094337
"2174",28574,40.116398,-83.038742
"2175",28626,47.073372,-122.973473
"2176",28663,47.071434,-122.970879
"2177",28662,47.071507,-122.979492
"2178",28666,44.496506,-103.871262
"2179",28682,47.075993,-122.982162
"2180",28683,47.073116,-122.971146
"2181",28742,41.204037,-77.341438
"2182",28751,38.982555,-76.940323
"2183",28752,38.985867,-76.947266
"2184",28763,29.645634,-82.345909
"2185",28764,37.362049,-122.127144
"2186",28773,29.645353,-82.343742
"2187",28783,44.930992,-123.035698
"2188",28786,38.986763,-76.947723
"2189",28788,38.984661,-76.93821
"2190",28790,38.991508,-76.950378
"2191",28791,38.992157,-76.943802
"2192",28793,38.983994,-76.935974
"2193",28794,38.984795,-76.946732
"2194",28643,38.987629,-76.941589
"2195",28796,38.984314,-76.940369
"2196",28797,38.982372,-76.939468
"2197",28798,40.296898,-111.694649
"2198",28799,44.935444,-123.031776
"2199",28716,44.935444,-123.031776
"2200",28802,44.93116,-123.034988
"2201",28800,44.935444,-123.031776
"2202",28801,44.935444,-123.031776
"2203",28803,44.935444,-123.031776
"2204",28804,44.935444,-123.031776
"2205",28808,53.93327,-116.5765
"2206",28618,28.54446,-81.263489
"2207",28729,40.202297,-77.196671
"2208",28805,44.949398,-123.035179
"2209",28824,41.720818,-72.371399
"2210",28830,30.50215,-89.666794
"2211",28737,30.375635,-89.056183
"2212",28840,29.64551,-82.349205
"2213",28759,38.190468,-78.388351
"2214",28867,40.407639,-104.694107
"2215",28889,38.002949,-121.237709
"2216",28898,45.046383,-93.224602
"2217",28910,44.584858,-122.826965
"2218",28915,38.987526,-76.936134
"2219",28916,38.988007,-76.93959
"2220",28917,38.984299,-76.932877
"2221",28918,38.988239,-76.943115
"2222",28919,38.984852,-76.94989
"2223",28920,38.988831,-76.941277
"2224",28923,38.986008,-76.938278
"2225",28924,38.982788,-76.93943
"2226",28928,38.983963,-76.943237
"2227",28932,38.98428,-76.933098
"2228",28933,38.989643,-76.940872
"2229",28934,38.984295,-76.944366
"2230",28953,40.40303,-104.697922
"2231",28954,38.98613,-76.938805
"2232",28952,37.144978,-80.547508
"2233",28813,35.02364,-106.745552
"2234",28969,29.796217,-90.82502
"2235",28853,42.318691,-72.642982
"2236",28854,42.3172,-72.644508
"2237",28984,38.99028,-76.938301
"2238",28988,30.225048,-92.045006
"2239",32607,39.936066,-86.118439
"2240",29012,38.953266,-75.934799
"2241",28883,26.445389,-82.11277
"2242",29095,35.957573,-83.866669
"2243",29104,35.95797,-83.864532
"2244",29220,37.087898,-80.551437
"2245",29265,30.400648,-88.645096
"2246",28590,30.397776,-88.757156
"2247",29331,42.78878,-77.823532
"2248",29333,35.551846,-120.800735
"2249",28615,42.279087,-85.613754
"2250",29351,34.249653,-83.845512
"2251",29353,40.905434,-81.098984
"2252",29402,39.045319,-76.788857
"2253",29403,37.134941,-80.566963
"2254",29409,45.464169,-122.614716
"2255",28884,26.445511,-82.112411
"2256",29412,34.21582,-118.148277
"2257",29456,34.217781,-118.145531
"2258",29477,48.504478,-120.718102
"2259",29523,34.202641,-118.148621
"2260",29558,34.205383,-118.125687
"2261",29565,39.818771,-84.915894
"2262",29599,44.114632,-69.365997
"2263",29535,34.204029,-118.130577
"2264",29640,34.076271,-118.118507
"2265",29655,47.487274,-90.985054
"2266",29667,44.380726,-69.445717
"2267",29704,37.220947,-80.422798
"2268",29703,37.225636,-80.416168
"2269",29707,37.228195,-80.42308
"2270",29719,42.282852,-85.616585
"2271",29319,42.366173,-71.25946
"2272",29751,34.126965,-118.114914
"2273",29835,35.827705,-78.645378
"2274",29882,44.116875,-69.119713
"2275",29887,40.50983,-104.683105
"2276",29913,38.909508,-77.07354
"2277",29915,38.908985,-77.072899
"2278",29916,38.908012,-77.072189
"2279",29917,38.910549,-77.073471
"2280",29906,44.797527,-93.135406
"2281",29724,43.464901,-110.729729
"2282",30001,43.682541,-70.313461
"2283",30002,43.682541,-70.313461
"2284",30003,43.680336,-70.308777
"2285",30013,38.067616,-76.537048
"2286",29925,47.506813,-94.889839
"2287",30038,40.120487,-82.967171
"2288",30061,47.484016,-94.870842
"2289",30068,42.419933,-76.496948
"2290",30081,38.955269,-75.936623
"2291",30100,44.906761,-93.128471
"2292",30111,42.054111,-87.675987
"2293",30113,47.485638,-94.873604
"2294",30057,42.050625,-87.679726
"2295",30146,42.056484,-87.676254
"2296",30096,39.646542,-79.879242
"2297",28904,40.401237,-104.69989
"2298",30166,42.148972,-87.789696
"2299",25686,38.920872,-77.357056
"2300",30144,42.148972,-87.789696
"2301",30148,38.518478,-78.440117
"2302",30174,42.055511,-87.674927
"2303",30177,35.539883,-83.042885
"2304",30178,40.864407,-73.875717
"2305",30099,42.057301,-87.674484
"2306",30175,42.058609,-87.674828
"2307",30194,42.056293,-87.67691
"2308",30200,42.057487,-87.675819
"2309",30179,42.008938,-87.682274
"2310",30230,39.828201,-98.579498
"2311",30242,44.609932,-94.080452
